NMUESTRA,LONGITUD,LATITUD,ELEVACION,FECHA,Au,Ag,Cu,Pb,Zn,Mo,Ni,Co,Cd,Fe,Mn,Te,Ba,Cr,V,Sn,W,La,Al,Mg,Ca,Na,K,Sr,Y,Ga,Li,Nb,Sc,Ta,Ti,Zr,As,Sb,Hg,Pt,Pd,LITHOLOGY,CODIGO
3367,784521.27,95060.22,1567.9,23/06/1998,3.33,0.66,72,7,98,0.7,15,21,0.46,4.89,869,6.66,150,23,141,13.33,13.33,4,4,0.83,0.32,0.02,0.04,27,6,7,8,8,11,6.66,0.11,4,2.66,1.26,0.071,3.33,2,Volcánicos andesíticos,MPlv
3511,784642.24,95199.89,1604.88,23/06/1998,3.33,0.66,70,2.66,80,1,17,26,0.46,5.65,1293,6.66,187,31,172,13.33,13.33,5,4.5,0.8,0.28,0.02,0.03,26,10,9,8,10,15,6.66,0.11,5,2.66,1.26,0.077,3.33,2,Volcánicos andesíticos,MPlv
7153,786414.69,90074.85,1297.86,23/06/1998,43,0.66,37,2.66,101,0.7,5,11,0.46,3.55,475,6.66,84,11,64,13.33,13.33,5,2.61,0.35,0.12,0.01,0.08,12,7,5,4,6,3.33,6.66,0.04,1,2.66,1.26,0.054,3.33,3,Volcánicos andesíticos,MPlv
7185,804971.93,95681.7,901.63,15/06/1998,3.33,0.66,69,2.66,81,0.7,24,22,0.46,7.29,843,6.66,55,57,344,13.33,13.33,4,4.32,1.29,1.25,0.08,0.04,82,7,1.33,6,33,15,6.66,0.26,7,2.66,1.26,0.026,14,7,Depósitos recientes no consolidados,QA
7432,785207.25,95090.18,1436.94,23/06/1998,3.33,0.66,48,4,73,0.7,10,16,0.46,4.36,645,6.66,117,23,117,13.33,13.33,3,3.66,0.59,0.22,0.02,0.03,18,5,5,5,7,8,6.66,0.1,4,2.66,1.26,0.056,3.33,4,Volcánicos andesíticos,MPlv
7637,787183.05,87856.19,1050.05,24/06/1998,3.33,0.66,76,2.66,77,0.7,29,25,0.46,6.13,821,6.66,129,90,154,13.33,13.33,3,4.4,0.9,0.41,0.02,0.03,21,5,4,8,9,18,6.66,0.12,2,2.66,1.26,0.061,8,9,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
8230,786498.71,96737.53,1196.79,22/06/1998,3.33,0.66,62,2.66,88,0.7,27,23,0.46,4.72,992,6.66,136,76,131,13.33,13.33,4,3.78,0.76,0.34,0.02,0.03,25,6,5,6,7,13,6.66,0.12,3,2.66,1.26,0.066,3.33,5,Volcánicos andesíticos,MPlv
8647,805439.52,95921.93,897.98,15/06/1998,3.33,0.66,74,2.66,57,0.7,60,26,0.46,5.33,760,6.66,65,101,154,13.33,13.33,5,4.96,1.97,1.41,0.03,0.03,47,8,3,8,15,21,6.66,0.16,11,2.66,1.26,0.026,5,6,Depósitos recientes no consolidados,QA
8715,804623.8,95112.59,879.65,15/06/1998,5,0.66,71,2.66,78,0.7,42,25,0.46,7.16,893,6.66,56,86,324,13.33,13.33,4,4.23,1.59,1.39,0.05,0.03,66,7,1.33,6,33,17,6.66,0.24,8,2.66,1.26,0.026,6,5,Depósitos recientes no consolidados,QA
8848,787777.08,88848.56,962.93,24/06/1998,6,0.66,103,5,100,0.7,63,36,0.46,6.97,1498,6.66,116,159,174,13.33,13.33,4,4.75,1.37,0.63,0.02,0.04,28,8,3,9,16,23,6.66,0.16,6,2.66,1.26,0.052,9,10,Depósitos recientes no consolidados,QA
